ds,yhat,yhat_lower,yhat_upper
2026-03-23 04:09:00,22708.245957899475,22695.216629214254,22720.756466399842
2026-03-23 04:10:00,22706.61498766385,22694.198466022237,22718.483531922666
2026-03-23 04:11:00,22704.702183777004,22692.556031652282,22717.054198691712
2026-03-23 04:12:00,22702.501323491324,22689.43083155014,22715.56080708629
2026-03-23 04:13:00,22700.006258894435,22686.943795773997,22711.774602906273
2026-03-23 04:14:00,22697.210919688547,22685.31296177877,22709.504122935956
2026-03-23 04:15:00,22694.109315020774,22681.54888218815,22706.68467261538
2026-03-23 04:16:00,22687.83971029242,22674.636091019875,22700.275177356623
2026-03-23 04:17:00,22681.252061503892,22668.32414154365,22694.42669579146
2026-03-23 04:18:00,22674.340754081484,22662.53840884412,22687.83995533082
2026-03-23 04:19:00,22667.100265340407,22654.88259389596,22679.27241806647
2026-03-23 04:20:00,22659.525167276952,22646.15842797551,22671.911553537666
2026-03-23 04:21:00,22651.610128563934,22638.884345459915,22664.180122321693
2026-03-23 04:22:00,22644.305326297483,22632.002907327616,22656.985908117953
2026-03-23 04:23:00,22636.6500642334,22624.56591390514,22649.223979191378
2026-03-23 04:24:00,22628.639268905685,22615.535400094217,22640.128893095683
2026-03-23 04:25:00,22620.267971673893,22607.602051418606,22632.566691921496
2026-03-23 04:26:00,22611.531310116196,22598.672620577814,22624.167980502356
2026-03-23 04:27:00,22610.459064415823,22598.32820563724,22622.58784841726
2026-03-23 04:28:00,22609.009447629647,22596.44301419152,22621.26661229376
2026-03-23 04:29:00,22607.17752249454,22593.877524054675,22619.55895773596
2026-03-23 04:30:00,22604.95845979509,22592.98676762045,22617.710944372575
2026-03-23 04:31:00,22602.34754042895,22589.930630540406,22614.921353991824
2026-03-23 04:32:00,22599.34015743301,22587.110506848698,22611.88623334381
2026-03-23 04:33:00,22603.022941746214,22590.88354385482,22615.788385329422
2026-03-23 04:34:00,22606.296605884967,22593.716761041735,22619.042842398714
2026-03-23 04:35:00,22609.15650739312,22596.453935091704,22621.319548307678
2026-03-23 04:36:00,22611.59811857916,22599.704102094543,22624.502001715566
2026-03-23 04:37:00,22613.617029216406,22601.354137962644,22626.385461995906
2026-03-23 04:38:00,22615.20894859766,22603.155354911352,22627.63442727986
2026-03-23 04:39:00,22608.626840361096,22596.787761123916,22621.226462486193
2026-03-23 04:40:00,22601.61539032115,22589.28390203723,22613.747396712984
2026-03-23 04:41:00,22594.171121577132,22582.24171472564,22607.22444265121
2026-03-23 04:42:00,22586.290689204943,22573.12959568952,22597.665001389854
2026-03-23 04:43:00,22577.970881849695,22565.01101745255,22590.607346091787
2026-03-23 04:44:00,22569.20862326439,22555.74346368901,22581.089131769753
2026-03-23 04:45:00,22567.432362394946,22554.64129751603,22579.701891216162
2026-03-23 04:46:00,22565.200530039278,22552.358105033454,22577.679026368773
2026-03-23 04:47:00,22562.51002160631,22549.931139540986,22575.454469508502
2026-03-23 04:48:00,22559.357870432665,22547.21922586787,22572.758878083325
2026-03-23 04:49:00,22555.741250381023,22542.94931947699,22567.849921171808
2026-03-23 04:50:00,22554.819352225997,22541.596613938476,22567.753325256483
2026-03-23 04:51:00,22553.423972252334,22541.33212797544,22564.97128206835
2026-03-23 04:52:00,22551.552519851168,22538.583435926867,22564.476870598093
2026-03-23 04:53:00,22549.202549578364,22536.012624452702,22562.37652180303
2026-03-23 04:54:00,22546.37176302623,22533.5054937167,22559.176925940326
2026-03-23 04:55:00,22543.058010397282,22531.21366562408,22555.796157491903
2026-03-23 04:56:00,22543.74311414192,22531.224206123603,22555.515572539567
2026-03-23 04:57:00,22543.934899930344,22530.867344816157,22556.128615073667
2026-03-23 04:58:00,22543.631390762566,22531.904292417006,22556.3119578854
2026-03-23 04:59:00,22542.830764437298,22529.728017775495,22555.01526233472
2026-03-23 05:00:00,22541.531352664166,22528.97968174948,22554.969132718506
2026-03-23 05:01:00,22539.731644321004,22527.18640285493,22551.744810306955
2026-03-23 05:02:00,22545.36266909403,22532.712848370644,22558.004638050395
2026-03-23 05:03:00,22550.477287802263,22537.218933669807,22561.992172512997
2026-03-23 05:04:00,22555.07396501461,22542.43304331543,22567.70564210612
2026-03-23 05:05:00,22559.15132756602,22546.284384770664,22571.7959514025
2026-03-23 05:06:00,22562.70816568398,22550.332440234677,22575.723881804715
2026-03-23 05:07:00,22565.74343460858,22553.421354559796,22578.084400234216
2026-03-23 05:08:00,22563.264084370054,22550.401899617566,22575.60203802881
2026-03-23 05:09:00,22560.271424157752,22547.91548254319,22573.47643506451
2026-03-23 05:10:00,22556.765227082768,22544.35098242806,22568.749831713194
